Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
WTA,Hard,3,85.75,8.25,0.81372549,0.18627451,1
WTA,Hard,3,85.75,8.25,0.803921569,0.196078431,1
WTA,Hard,3,85.75,12.75,0.786407767,0.213592233,1
WTA,Hard,3,85.75,8.25,0.786407767,0.213592233,1
WTA,Hard,3,85.75,8.25,0.776699029,0.223300971,1
WTA,Hard,3,85.75,8.25,0.784313725,0.215686275,1
ATP,Clay,3,84.25,11.25,0.921568627,0.078431373,1
ATP,Hard,3,83,10,0.921568627,0.078431373,1
WTA,Hard,3,85.75,8.25,0.757281553,0.242718447,1
ATP,Clay,3,83,10,0.921568627,0.078431373,1
ATP,Clay,3,79.75,10.75,0.921568627,0.078431373,1
ATP,Hard,3,79,10,0.921568627,0.078431373,1
WTA,Hard,3,85.75,12.75,0.72815534,0.27184466,1
ATP,Clay,3,77,13.25,0.921568627,0.078431373,1
WTA,Grass,3,85.75,8.25,0.705882353,0.294117647,1
ATP,Hard,3,76.25,12.5,0.921568627,0.078431373,1
ATP,Hard,3,74.25,15,0.921568627,0.078431373,1
ATP,Hard,3,74.25,15,0.921568627,0.078431373,1
WTA,Hard,3,85.75,8.25,0.67961165,0.32038835,1
WTA,Grass,3,85.75,8.25,0.67961165,0.32038835,1
ATP,Hard,3,74,15.5,0.921568627,0.078431373,1
ATP,Hard,3,73,18.25,0.921568627,0.078431373,1
WTA,Hard,3,85.75,8.25,0.666666667,0.333333333,1
WTA,Hard,3,85.75,8.25,0.666666667,0.333333333,1
ATP,Hard,3,72.75,18,0.921568627,0.078431373,1
WTA,Hard,3,85.75,8.25,0.666666667,0.333333333,1
WTA,Hard,3,85.75,8.25,0.650485437,0.349514563,1
WTA,Hard,3,85.75,7.5,0.640776699,0.359223301,1
WTA,Hard,3,85.75,8.25,0.640776699,0.359223301,1
WTA,Hard,3,85.75,8.25,0.631067961,0.368932039,1
